router[0][0][0]	uP_mem[0][0][0]	uP_mac[0][0][0]	router[1][0][0]	uP_mem[1][0][0]	uP_mac[1][0][0]	router[2][0][0]	uP_mem[2][0][0]	uP_mac[2][0][0]	router[3][0][0]	uP_mem[3][0][0]	uP_mac[3][0][0]	router[4][0][0]	uP_mem[4][0][0]	uP_mac[4][0][0]	router[5][0][0]	uP_mem[5][0][0]	uP_mac[5][0][0]	router[6][0][0]	uP_mem[6][0][0]	uP_mac[6][0][0]	router[7][0][0]	uP_mem[7][0][0]	uP_mac[7][0][0]	router[0][1][0]	uP_mem[0][1][0]	uP_mac[0][1][0]	router[1][1][0]	uP_mem[1][1][0]	uP_mac[1][1][0]	router[2][1][0]	uP_mem[2][1][0]	uP_mac[2][1][0]	router[3][1][0]	uP_mem[3][1][0]	uP_mac[3][1][0]	router[4][1][0]	uP_mem[4][1][0]	uP_mac[4][1][0]	router[5][1][0]	uP_mem[5][1][0]	uP_mac[5][1][0]	router[6][1][0]	uP_mem[6][1][0]	uP_mac[6][1][0]	router[7][1][0]	uP_mem[7][1][0]	uP_mac[7][1][0]	router[0][2][0]	uP_mem[0][2][0]	uP_mac[0][2][0]	router[1][2][0]	uP_mem[1][2][0]	uP_mac[1][2][0]	router[2][2][0]	uP_mem[2][2][0]	uP_mac[2][2][0]	router[3][2][0]	uP_mem[3][2][0]	uP_mac[3][2][0]	router[4][2][0]	uP_mem[4][2][0]	uP_mac[4][2][0]	router[5][2][0]	uP_mem[5][2][0]	uP_mac[5][2][0]	router[6][2][0]	uP_mem[6][2][0]	uP_mac[6][2][0]	router[7][2][0]	uP_mem[7][2][0]	uP_mac[7][2][0]	router[0][3][0]	uP_mem[0][3][0]	uP_mac[0][3][0]	router[1][3][0]	uP_mem[1][3][0]	uP_mac[1][3][0]	router[2][3][0]	uP_mem[2][3][0]	uP_mac[2][3][0]	router[3][3][0]	uP_mem[3][3][0]	uP_mac[3][3][0]	router[4][3][0]	uP_mem[4][3][0]	uP_mac[4][3][0]	router[5][3][0]	uP_mem[5][3][0]	uP_mac[5][3][0]	router[6][3][0]	uP_mem[6][3][0]	uP_mac[6][3][0]	router[7][3][0]	uP_mem[7][3][0]	uP_mac[7][3][0]	router[0][4][0]	uP_mem[0][4][0]	uP_mac[0][4][0]	router[1][4][0]	uP_mem[1][4][0]	uP_mac[1][4][0]	router[2][4][0]	uP_mem[2][4][0]	uP_mac[2][4][0]	router[3][4][0]	uP_mem[3][4][0]	uP_mac[3][4][0]	router[4][4][0]	uP_mem[4][4][0]	uP_mac[4][4][0]	router[5][4][0]	uP_mem[5][4][0]	uP_mac[5][4][0]	router[6][4][0]	uP_mem[6][4][0]	uP_mac[6][4][0]	router[7][4][0]	uP_mem[7][4][0]	uP_mac[7][4][0]	router[0][5][0]	uP_mem[0][5][0]	uP_mac[0][5][0]	router[1][5][0]	uP_mem[1][5][0]	uP_mac[1][5][0]	router[2][5][0]	uP_mem[2][5][0]	uP_mac[2][5][0]	router[3][5][0]	uP_mem[3][5][0]	uP_mac[3][5][0]	router[4][5][0]	uP_mem[4][5][0]	uP_mac[4][5][0]	router[5][5][0]	uP_mem[5][5][0]	uP_mac[5][5][0]	router[6][5][0]	uP_mem[6][5][0]	uP_mac[6][5][0]	router[7][5][0]	uP_mem[7][5][0]	uP_mac[7][5][0]	router[0][6][0]	uP_mem[0][6][0]	uP_mac[0][6][0]	router[1][6][0]	uP_mem[1][6][0]	uP_mac[1][6][0]	router[2][6][0]	uP_mem[2][6][0]	uP_mac[2][6][0]	router[3][6][0]	uP_mem[3][6][0]	uP_mac[3][6][0]	router[4][6][0]	uP_mem[4][6][0]	uP_mac[4][6][0]	router[5][6][0]	uP_mem[5][6][0]	uP_mac[5][6][0]	router[6][6][0]	uP_mem[6][6][0]	uP_mac[6][6][0]	router[7][6][0]	uP_mem[7][6][0]	uP_mac[7][6][0]	router[0][7][0]	uP_mem[0][7][0]	uP_mac[0][7][0]	router[1][7][0]	uP_mem[1][7][0]	uP_mac[1][7][0]	router[2][7][0]	uP_mem[2][7][0]	uP_mac[2][7][0]	router[3][7][0]	uP_mem[3][7][0]	uP_mac[3][7][0]	router[4][7][0]	uP_mem[4][7][0]	uP_mac[4][7][0]	router[5][7][0]	uP_mem[5][7][0]	uP_mac[5][7][0]	router[6][7][0]	uP_mem[6][7][0]	uP_mac[6][7][0]	router[7][7][0]	uP_mem[7][7][0]	uP_mac[7][7][0]	
25.0138	25.0011	25.0007	25.0138	25.0011	25.0007	25.0138	25.0011	25.0007	25.0139	25.0011	25.0007	25.0139	25.0011	25.0007	25.0138	25.0011	25.0007	25.0138	25.0011	25.0007	25.0139	25.0011	25.0007	25.0221	25.0011	25.0007	25.0303	25.0011	25.0007	25.0467	25.0011	25.0007	25.0526	25.0011	25.0007	25.0443	25.0011	25.0007	25.0359	25.0011	25.0007	25.0277	25.0011	25.0007	25.0195	25.0011	25.0007	25.1168	25.046	25.031	25.1904	25.0461	25.031	25.2398	25.0461	25.031	25.2419	25.0424	25.0286	25.197	25.045	25.0303	25.1564	25.045	25.0303	25.1158	25.045	25.0303	25.0671	25.045	25.0303	25.067	25.045	25.0303	25.0698	25.045	25.0303	25.0707	25.0459	25.0309	25.0567	25.0161	25.0108	25.049	25.0161	25.0108	25.029	25.0056	25.0037	25.0171	25.0043	25.0028	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	25.0056	25.0011	25.0007	
25.0183	25.0022	25.0013	25.0183	25.0022	25.0013	25.0183	25.0022	25.0013	25.0184	25.0022	25.0013	25.0184	25.0022	25.0013	25.0183	25.0022	25.0013	25.0183	25.0022	25.0013	25.0184	25.0022	25.0013	25.026	25.0022	25.0013	25.0335	25.0022	25.0013	25.0486	25.0022	25.0013	25.054	25.0022	25.0013	25.0463	25.0022	25.0013	25.0387	25.0022	25.0013	25.0311	25.0022	25.0013	25.0235	25.0022	25.0013	25.1141	25.0443	25.0299	25.1817	25.0444	25.0299	25.2272	25.0444	25.0299	25.229	25.041	25.0276	25.1877	25.0434	25.0292	25.1504	25.0434	25.0292	25.113	25.0434	25.0292	25.0681	25.0434	25.0292	25.0681	25.0434	25.0292	25.0706	25.0434	25.0292	25.0715	25.0442	25.0298	25.0581	25.0163	25.0108	25.051	25.0162	25.0108	25.0324	25.0064	25.0042	25.0214	25.0052	25.0033	25.0107	25.0022	25.0013	25.0108	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	25.0107	25.0022	25.0013	
25.0227	25.0032	25.0019	25.0226	25.0032	25.0019	25.0226	25.0032	25.0019	25.0227	25.0032	25.0019	25.0227	25.0032	25.0019	25.0226	25.0032	25.0019	25.0226	25.0032	25.0019	25.0227	25.0032	25.0019	25.0298	25.0032	25.0019	25.0368	25.0032	25.0019	25.0508	25.0032	25.0019	25.0558	25.0032	25.0019	25.0487	25.0032	25.0019	25.0415	25.0032	25.0019	25.0345	25.0032	25.0019	25.0274	25.0032	25.0019	25.1128	25.0433	25.0292	25.1755	25.0433	25.0292	25.2178	25.0433	25.0292	25.2195	25.0401	25.027	25.1811	25.0424	25.0286	25.1463	25.0424	25.0286	25.1115	25.0423	25.0286	25.0697	25.0423	25.0286	25.0699	25.0424	25.0286	25.0721	25.0423	25.0286	25.0729	25.0431	25.0291	25.06	25.0167	25.011	25.0533	25.0165	25.011	25.0359	25.0072	25.0047	25.0256	25.006	25.0039	25.0156	25.0032	25.0019	25.0156	25.0032	25.0019	25.0156	25.0032	25.0019	25.0156	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0156	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0156	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0156	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	25.0155	25.0032	25.0019	
25.0269	25.0041	25.0025	25.0267	25.0041	25.0025	25.0267	25.0041	25.0025	25.0268	25.0041	25.0025	25.0268	25.0041	25.0025	25.0267	25.0041	25.0025	25.0267	25.0041	25.0025	25.0268	25.0041	25.0025	25.0336	25.0042	25.0025	25.04	25.0042	25.0025	25.0532	25.0042	25.0025	25.0579	25.0042	25.0025	25.0512	25.0042	25.0025	25.0445	25.0042	25.0025	25.0378	25.0041	25.0025	25.0312	25.0041	25.0025	25.1124	25.0427	25.0288	25.1709	25.0427	25.0288	25.2106	25.0427	25.0288	25.2121	25.0396	25.0267	25.1761	25.0418	25.0282	25.1435	25.0418	25.0282	25.1108	25.0417	25.0282	25.0716	25.0417	25.0282	25.0721	25.0418	25.0282	25.0739	25.0417	25.0282	25.0747	25.0424	25.0287	25.0622	25.0171	25.0113	25.0558	25.017	25.0113	25.0393	25.0081	25.0052	25.0296	25.0069	25.0044	25.0202	25.0041	25.0025	25.0203	25.0041	25.0025	25.0202	25.0041	25.0025	25.0202	25.0041	25.0025	25.0201	25.0041	25.0025	25.0201	25.0041	25.0025	25.0201	25.0041	25.0025	25.0201	25.0041	25.0025	25.02	25.0041	25.0025	25.0201	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.0201	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.0201	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	25.02	25.0041	25.0025	
25.0309	25.0051	25.0031	25.0307	25.0051	25.0031	25.0307	25.0051	25.0031	25.0307	25.0051	25.0031	25.0307	25.0051	25.0031	25.0307	25.0051	25.0031	25.0307	25.0051	25.0031	25.0307	25.0051	25.0031	25.0373	25.0051	25.0031	25.0432	25.0051	25.0031	25.0556	25.0051	25.0031	25.06	25.0051	25.0031	25.0537	25.0051	25.0031	25.0474	25.0051	25.0031	25.0411	25.0051	25.0031	25.0349	25.0051	25.0031	25.1127	25.0424	25.0286	25.1675	25.0423	25.0287	25.205	25.0424	25.0287	25.2064	25.0394	25.0266	25.1724	25.0415	25.0281	25.1416	25.0414	25.0281	25.1108	25.0414	25.0281	25.0737	25.0413	25.028	25.0744	25.0415	25.028	25.076	25.0413	25.028	25.0767	25.042	25.0285	25.0645	25.0177	25.0116	25.0584	25.0174	25.0116	25.0428	25.0089	25.0057	25.0335	25.0077	25.0049	25.0246	25.0051	25.0031	25.0247	25.0051	25.0031	25.0246	25.005	25.0031	25.0246	25.005	25.0031	25.0244	25.005	25.0031	25.0244	25.005	25.0031	25.0244	25.005	25.0031	25.0244	25.005	25.0031	25.0243	25.005	25.0031	25.0245	25.0051	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0245	25.0051	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0245	25.0051	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	25.0243	25.005	25.0031	
25.0349	25.006	25.0036	25.0345	25.006	25.0036	25.0345	25.006	25.0036	25.0345	25.006	25.0036	25.0345	25.006	25.0036	25.0345	25.006	25.0036	25.0345	25.006	25.0036	25.0345	25.006	25.0036	25.0409	25.006	25.0036	25.0463	25.006	25.0036	25.0581	25.0061	25.0037	25.0623	25.0061	25.0037	25.0563	25.0061	25.0037	25.0503	25.006	25.0037	25.0444	25.006	25.0036	25.0385	25.006	25.0036	25.1134	25.0423	25.0286	25.1649	25.0422	25.0286	25.2005	25.0423	25.0286	25.2017	25.0394	25.0266	25.1695	25.0413	25.028	25.1403	25.0413	25.028	25.1111	25.0412	25.028	25.0759	25.0411	25.028	25.077	25.0414	25.028	25.0782	25.0411	25.028	25.0789	25.0418	25.0285	25.067	25.0184	25.012	25.0611	25.018	25.012	25.0461	25.0097	25.0062	25.0373	25.0085	25.0054	25.0288	25.006	25.0036	25.029	25.006	25.0036	25.0287	25.0059	25.0036	25.0287	25.0059	25.0036	25.0285	25.0059	25.0036	25.0285	25.0059	25.0036	25.0285	25.0059	25.0036	25.0285	25.0059	25.0036	25.0284	25.0059	25.0036	25.0287	25.006	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0287	25.006	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0287	25.006	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	25.0284	25.0059	25.0036	
25.0387	25.0069	25.0042	25.0382	25.0068	25.0042	25.0382	25.0069	25.0042	25.0382	25.0069	25.0042	25.0382	25.0069	25.0042	25.0382	25.0069	25.0042	25.0382	25.0068	25.0042	25.0382	25.0068	25.0042	25.0444	25.0069	25.0042	25.0493	25.0069	25.0042	25.0606	25.007	25.0042	25.0646	25.007	25.0042	25.0589	25.007	25.0042	25.0532	25.0069	25.0042	25.0475	25.0069	25.0042	25.0419	25.0069	25.0042	25.1144	25.0423	25.0286	25.1628	25.0422	25.0287	25.1967	25.0423	25.0287	25.1979	25.0395	25.0267	25.1672	25.0413	25.0281	25.1394	25.0413	25.0281	25.1116	25.0411	25.0281	25.0782	25.041	25.028	25.0796	25.0414	25.0281	25.0804	25.041	25.0281	25.0811	25.0417	25.0285	25.0694	25.019	25.0123	25.0637	25.0185	25.0123	25.0493	25.0106	25.0067	25.0409	25.0093	25.0059	25.0328	25.0069	25.0042	25.0331	25.0069	25.0042	25.0327	25.0068	25.0042	25.0327	25.0068	25.0042	25.0325	25.0068	25.0042	25.0325	25.0068	25.0042	25.0324	25.0068	25.0042	25.0324	25.0068	25.0042	25.0323	25.0068	25.0042	25.0327	25.0069	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0327	25.0069	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0327	25.0069	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	25.0323	25.0068	25.0042	
25.0424	25.0078	25.0047	25.0417	25.0077	25.0047	25.0417	25.0077	25.0047	25.0418	25.0077	25.0047	25.0418	25.0077	25.0047	25.0417	25.0077	25.0047	25.0417	25.0077	25.0047	25.0418	25.0077	25.0047	25.0478	25.0078	25.0047	25.0523	25.0078	25.0047	25.063	25.0079	25.0048	25.0668	25.0079	25.0048	25.0614	25.0079	25.0048	25.0559	25.0078	25.0048	25.0505	25.0078	25.0047	25.0452	25.0077	25.0047	25.1156	25.0424	25.0287	25.1612	25.0422	25.0288	25.1935	25.0424	25.0288	25.1946	25.0397	25.0269	25.1654	25.0414	25.0283	25.1389	25.0413	25.0282	25.1123	25.0412	25.0282	25.0804	25.041	25.0281	25.0822	25.0415	25.0282	25.0827	25.041	25.0282	25.0834	25.0417	25.0286	25.0719	25.0197	25.0127	25.0663	25.0191	25.0127	25.0525	25.0114	25.0072	25.0444	25.0101	25.0064	25.0366	25.0077	25.0047	25.037	25.0077	25.0047	25.0366	25.0077	25.0047	25.0366	25.0077	25.0047	25.0363	25.0077	25.0047	25.0363	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0366	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0366	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0366	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	25.0361	25.0077	25.0047	
25.046	25.0086	25.0053	25.0451	25.0086	25.0053	25.0451	25.0086	25.0053	25.0452	25.0086	25.0053	25.0452	25.0086	25.0053	25.0451	25.0086	25.0053	25.0451	25.0086	25.0053	25.0452	25.0086	25.0053	25.0511	25.0087	25.0053	25.0552	25.0087	25.0053	25.0654	25.0088	25.0053	25.0691	25.0088	25.0053	25.0639	25.0088	25.0053	25.0587	25.0087	25.0053	25.0535	25.0087	25.0053	25.0484	25.0086	25.0053	25.1168	25.0426	25.0289	25.1598	25.0424	25.029	25.1907	25.0426	25.029	25.1917	25.04	25.0271	25.1638	25.0416	25.0284	25.1385	25.0415	25.0284	25.1131	25.0413	25.0284	25.0827	25.0411	25.0283	25.0848	25.0416	25.0283	25.0849	25.0411	25.0283	25.0856	25.0418	25.0287	25.0743	25.0204	25.0132	25.0689	25.0197	25.0131	25.0556	25.0122	25.0076	25.0478	25.0109	25.0069	25.0403	25.0086	25.0053	25.0409	25.0086	25.0053	25.0402	25.0085	25.0053	25.0403	25.0085	25.0053	25.0399	25.0085	25.0053	25.0399	25.0085	25.0053	25.0398	25.0085	25.0053	25.0397	25.0085	25.0053	25.0397	25.0085	25.0053	25.0403	25.0086	25.0053	25.0397	25.0085	25.0053	25.0397	25.0085	25.0053	25.0397	25.0085	25.0053	25.0397	25.0085	25.0053	25.0397	25.0085	25.0053	25.0397	25.0085	25.0053	25.0397	25.0085	25.0053	25.0403	25.0086	
