 0--1         0->1
 2--43         2->10->11->19->27->28->36->44->43
 2--44         2->10->11->19->27->28->36->44
 2--45         2->10->11->19->27->28->36->44->45
 2--46         2->10->11->19->27->28->36->44->45->46
 2--47         2->10->11->19->27->28->36->44->45->46->47
 2--48         2->10->9->17->25->33->41->49->48
 2--49         2->10->9->17->25->33->41->49
 2--50         2->10->11->19->27->26->34->42->50
 2--51         2->10->11->19->27->28->36->44->52->51
 2--52         2->10->11->19->27->28->36->44->52
 2--53         2->10->11->19->27->28->36->44->52->53
 2--54         2->10->11->19->27->28->36->44->52->53->54
 2--55         2->10->11->19->27->28->36->44->52->53->54->55
 2--56         2->10->9->17->25->33->41->49->57->56
 2--57         2->10->9->17->25->33->41->49->57
 2--58         2->10->11->19->27->26->34->42->50->58
 2--59         2->10->11->19->27->28->36->44->52->60->59
 2--60         2->10->11->19->27->28->36->44->52->60
 2--61         2->10->11->19->27->28->36->44->52->60->61
 2--62         2->10->11->19->27->28->36->44->52->60->61->62
 2--63         2->10->11->19->27->28->36->44->52->60->61->62->63
 4--0         4->12->11->10->2->1->0
 4--1         4->12->11->10->2->1
 4--2         4->12->11->10->2
 4--5         4->5
 4--6         4->5->6
 4--7         4->5->6->7
 4--8         4->12->11->10->9->8
 4--9         4->12->11->10->9
 4--10         4->12->11->10
 4--11         4->12->11
 4--12         4->12
 4--13         4->12->13
 4--14         4->12->13->14
 4--15         4->12->13->14->15
 4--16         4->12->11->10->9->17->16
 4--17         4->12->11->10->9->17
 4--19         4->12->20->19
 4--20         4->12->20
 4--21         4->12->20->21
 4--22         4->12->20->21->22
 4--23         4->12->20->21->22->23
 4--24         4->12->20->28->27->26->25->24
 4--25         4->12->20->28->27->26->25
 4--26         4->12->20->28->27->26
 4--27         4->12->20->28->27
 4--28         4->12->20->28
 4--29         4->12->20->28->29
 4--30         4->12->20->28->29->30
 4--31         4->12->20->28->29->30->31
 4--32         4->12->20->28->27->26->34->33->32
 4--33         4->12->20->28->27->26->34->33
 4--34         4->12->20->28->27->26->34
 4--36         4->12->20->28->36
 4--37         4->12->20->28->36->37
 4--38         4->12->20->28->36->37->38
 4--39         4->12->20->28->36->37->38->39
 4--40         4->12->20->28->36->44->43->42->41->40
 4--41         4->12->20->28->36->44->43->42->41
 4--42         4->12->20->28->36->44->43->42
 4--43         4->12->20->28->36->44->43
 4--44         4->12->20->28->36->44
 4--45         4->12->20->28->36->44->45
 4--46         4->12->20->28->36->44->45->46
 4--47         4->12->20->28->36->44->45->46->47
 4--48         4->12->20->28->36->44->52->51->50->49->48
 4--49         4->12->20->28->36->44->52->51->50->49
 4--50         4->12->20->28->36->44->52->51->50
 4--51         4->12->20->28->36->44->52->51
 4--52         4->12->20->28->36->44->52
 4--53         4->12->20->28->36->44->52->53
 4--54         4->12->20->28->36->44->52->53->54
 4--55         4->12->20->28->36->44->52->53->54->55
 4--56         4->12->20->28->36->44->52->60->59->58->57->56
 4--57         4->12->20->28->36->44->52->60->59->58->57
 4--58         4->12->20->28->36->44->52->60->59->58
 4--59         4->12->20->28->36->44->52->60->59
 4--60         4->12->20->28->36->44->52->60
 4--61         4->12->20->28->36->44->52->60->61
 4--62         4->12->20->28->36->44->52->60->61->62
 4--63         4->12->20->28->36->44->52->60->61->62->63
 5--0         5->13->12->11->10->2->1->0
 5--1         5->13->12->11->10->2->1
 5--2         5->13->12->11->10->2
 5--4         5->4
 5--6         5->6
 5--7         5->6->7
 5--8         5->13->12->11->10->9->8
 5--9         5->13->12->11->10->9
 5--10         5->13->12->11->10
 5--11         5->13->12->11
 5--12         5->13->12
 5--13         5->13
 5--14         5->13->14
 5--15         5->13->14->15
 5--16         5->13->12->11->10->9->17->16
 5--17         5->13->12->11->10->9->17
 5--19         5->13->21->20->19
 5--20         5->13->21->20
 5--21         5->13->21
 5--22         5->13->21->22
 5--23         5->13->21->22->23
 5--24         5->13->21->29->28->27->26->25->24
 5--25         5->13->21->29->28->27->26->25
 5--26         5->13->21->29->28->27->26
 5--27         5->13->21->29->28->27
 5--28         5->13->21->29->28
 5--29         5->13->21->29
 5--30         5->13->21->29->30
 5--31         5->13->21->29->30->31
 5--32         5->13->21->29->28->27->26->34->33->32
 5--33         5->13->21->29->28->27->26->34->33
 5--34         5->13->21->29->28->27->26->34
 5--36         5->13->21->29->37->36
 5--37         5->13->21->29->37
 5--38         5->13->21->29->37->38
 5--39         5->13->21->29->37->38->39
 5--40         5->13->21->29->37->45->44->43->42->41->40
 5--41         5->13->21->29->37->45->44->43->42->41
 5--42         5->13->21->29->37->45->44->43->42
 5--43         5->13->21->29->37->45->44->43
 5--44         5->13->21->29->37->45->44
 5--45         5->13->21->29->37->45
 5--46         5->13->21->29->37->45->46
 5--47         5->13->21->29->37->45->46->47
 5--48         5->13->21->29->37->45->53->52->51->50->49->48
 5--49         5->13->21->29->37->45->53->52->51->50->49
 5--50         5->13->21->29->37->45->53->52->51->50
 5--51         5->13->21->29->37->45->53->52->51
 5--52         5->13->21->29->37->45->53->52
 5--53         5->13->21->29->37->45->53
 5--54         5->13->21->29->37->45->53->54
 5--55         5->13->21->29->37->45->53->54->55
 5--56         5->13->21->29->37->45->53->61->60->59->58->57->56
 5--57         5->13->21->29->37->45->53->61->60->59->58->57
 5--58         5->13->21->29->37->45->53->61->60->59->58
 5--59         5->13->21->29->37->45->53->61->60->59
 5--60         5->13->21->29->37->45->53->61->60
 5--61         5->13->21->29->37->45->53->61
 5--62         5->13->21->29->37->45->53->61->62
 5--63         5->13->21->29->37->45->53->61->62->63
 6--0         6->14->13->12->11->10->2->1->0
 6--1         6->14->13->12->11->10->2->1
 6--2         6->14->13->12->11->10->2
 6--4         6->5->4
 6--5         6->5
 6--7         6->7
 6--8         6->14->13->12->11->10->9->8
 6--9         6->14->13->12->11->10->9
 6--10         6->14->13->12->11->10
 6--11         6->14->13->12->11
 6--12         6->14->13->12
 6--13         6->14->13
 6--14         6->14
 6--15         6->14->15
 6--16         6->14->13->12->11->10->9->17->16
 6--17         6->14->13->12->11->10->9->17
 6--19         6->14->22->21->20->19
 6--20         6->14->22->21->20
 6--21         6->14->22->21
 6--22         6->14->22
 6--23         6->14->22->23
 6--24         6->14->22->30->29->28->27->26->25->24
 6--25         6->14->22->30->29->28->27->26->25
 6--26         6->14->22->30->29->28->27->26
 6--27         6->14->22->30->29->28->27
 6--28         6->14->22->30->29->28
 6--29         6->14->22->30->29
 6--30         6->14->22->30
 6--31         6->14->22->30->31
 6--32         6->14->22->30->29->28->27->26->34->33->32
 6--33         6->14->22->30->29->28->27->26->34->33
 6--34         6->14->22->30->29->28->27->26->34
 6--36         6->14->22->30->38->37->36
 6--37         6->14->22->30->38->37
 6--38         6->14->22->30->38
 6--39         6->14->22->30->38->39
 6--40         6->14->22->30->38->46->45->44->43->42->41->40
 6--41         6->14->22->30->38->46->45->44->43->42->41
 6--42         6->14->22->30->38->46->45->44->43->42
 6--43         6->14->22->30->38->46->45->44->43
 6--44         6->14->22->30->38->46->45->44
 6--45         6->14->22->30->38->46->45
 6--46         6->14->22->30->38->46
 6--47         6->14->22->30->38->46->47
 6--48         6->14->22->30->38->46->54->53->52->51->50->49->48
 6--49         6->14->22->30->38->46->54->53->52->51->50->49
 6--50         6->14->22->30->38->46->54->53->52->51->50
 6--51         6->14->22->30->38->46->54->53->52->51
 6--52         6->14->22->30->38->46->54->53->52
 6--53         6->14->22->30->38->46->54->53
 6--54         6->14->22->30->38->46->54
 6--55         6->14->22->30->38->46->54->55
 6--56         6->14->22->30->38->46->54->62->61->60->59->58->57->56
 6--57         6->14->22->30->38->46->54->62->61->60->59->58->57
 6--58         6->14->22->30->38->46->54->62->61->60->59->58
 6--59         6->14->22->30->38->46->54->62->61->60->59
 6--60         6->14->22->30->38->46->54->62->61->60
 6--61         6->14->22->30->38->46->54->62->61
 6--62         6->14->22->30->38->46->54->62
 6--63         6->14->22->30->38->46->54->62->63
 7--0         7->15->14->13->12->11->10->2->1->0
 7--1         7->15->14->13->12->11->10->2->1
 7--2         7->15->14->13->12->11->10->2
 7--4         7->6->5->4
 7--5         7->6->5
 7--6         7->6
 7--8         7->15->14->13->12->11->10->9->8
 7--9         7->15->14->13->12->11->10->9
 7--10         7->15->14->13->12->11->10
 7--11         7->15->14->13->12->11
 7--12         7->15->14->13->12
 7--13         7->15->14->13
 7--14         7->15->14
 7--15         7->15
 7--16         7->15->14->13->12->11->10->9->17->16
 7--17         7->15->14->13->12->11->10->9->17
 7--19         7->15->23->22->21->20->19
 7--20         7->15->23->22->21->20
 7--21         7->15->23->22->21
 7--22         7->15->23->22
 7--23         7->15->23
 7--24         7->15->23->31->30->29->28->27->26->25->24
 7--25         7->15->23->31->30->29->28->27->26->25
 7--26         7->15->23->31->30->29->28->27->26
 7--27         7->15->23->31->30->29->28->27
 7--28         7->15->23->31->30->29->28
 7--29         7->15->23->31->30->29
 7--30         7->15->23->31->30
 7--31         7->15->23->31
 7--32         7->15->23->31->30->29->28->27->26->34->33->32
 7--33         7->15->23->31->30->29->28->27->26->34->33
 7--34         7->15->23->31->30->29->28->27->26->34
 7--36         7->15->23->31->39->38->37->36
 7--37         7->15->23->31->39->38->37
 7--38         7->15->23->31->39->38
 7--39         7->15->23->31->39
 7--40         7->15->23->31->39->47->46->45->44->43->42->41->40
 7--41         7->15->23->31->39->47->46->45->44->43->42->41
 7--42         7->15->23->31->39->47->46->45->44->43->42
 7--43         7->15->23->31->39->47->46->45->44->43
 7--44         7->15->23->31->39->47->46->45->44
 7--45         7->15->23->31->39->47->46->45
 7--46         7->15->23->31->39->47->46
 7--47         7->15->23->31->39->47
 7--48         7->15->23->31->39->47->55->54->53->52->51->50->49->48
 7--49         7->15->23->31->39->47->55->54->53->52->51->50->49
 7--50         7->15->23->31->39->47->55->54->53->52->51->50
 7--51         7->15->23->31->39->47->55->54->53->52->51
 7--52         7->15->23->31->39->47->55->54->53->52
 7--53         7->15->23->31->39->47->55->54->53
 7--54         7->15->23->31->39->47->55->54
 7--55         7->15->23->31->39->47->55
 7--56         7->15->23->31->39->47->55->63->62->61->60->59->58->57->56
 7--57         7->15->23->31->39->47->55->63->62->61->60->59->58->57
 7--58         7->15->23->31->39->47->55->63->62->61->60->59->58
 7--59         7->15->23->31->39->47->55->63->62->61->60->59
 7--60         7->15->23->31->39->47->55->63->62->61->60
 7--61         7->15->23->31->39->47->55->63->62->61
 7--62         7->15->23->31->39->47->55->63->62
 7--63         7->15->23->31->39->47->55->63
 8--0         8->0
 8--1         8->0->1
 8--2         8->0->1->2
 8--4         8->9->10->11->12->4
 8--5         8->9->10->11->12->4->5
 8--6         8->9->10->11->12->4->5->6
 8--7         8->9->10->11->12->4->5->6->7
 8--9         8->9
 8--10         8->9->10
 8--11         8->9->10->11
 8--12         8->9->10->11->12
 8--13         8->9->10->11->12->13
 8--14         8->9->10->11->12->13->14
 8--15         8->9->10->11->12->13->14->15
 8--16         8->16
 8--17         8->16->17
 8--19         8->9->10->11->19
 8--20         8->9->10->11->19->20
 8--21         8->9->10->11->19->20->21
 8--22         8->9->10->11->19->20->21->22
 8--23         8->9->10->11->19->20->21->22->23
 8--24         8->16->24
 8--25         8->16->24->25
 8--26         8->16->24->25->26
 8--27         8->16->24->25->26->27
 8--28         8->16->24->25->26->27->28
 8--29         8->16->24->25->26->27->28->29
 8--30         8->16->24->25->26->27->28->29->30
