 0--1         0->1
 13--8         13->12->11->10->9->8
 13--9         13->12->11->10->9
 13--10         13->12->11->10
 13--11         13->12->11
 13--12         13->12
 13--14         13->14
 13--15         13->14->15
 13--16         13->12->11->10->9->17->16
 13--17         13->12->11->10->9->17
 13--19         13->21->20->19
 13--20         13->21->20
 13--21         13->21
 13--22         13->21->22
 13--23         13->21->22->23
 13--24         13->21->29->28->27->26->25->24
 13--25         13->21->29->28->27->26->25
 13--26         13->21->29->28->27->26
 13--27         13->21->29->28->27
 13--28         13->21->29->28
 13--29         13->21->29
 13--30         13->21->29->30
 13--31         13->21->29->30->31
 13--32         13->21->29->28->27->26->34->33->32
 13--33         13->21->29->28->27->26->34->33
 13--34         13->21->29->28->27->26->34
 13--36         13->21->29->37->36
 13--37         13->21->29->37
 13--38         13->21->29->37->38
 13--39         13->21->29->37->38->39
 13--40         13->21->29->37->45->44->43->42->41->40
 13--41         13->21->29->37->45->44->43->42->41
 13--42         13->21->29->37->45->44->43->42
 13--43         13->21->29->37->45->44->43
 13--44         13->21->29->37->45->44
 13--45         13->21->29->37->45
 13--46         13->21->29->37->45->46
 13--47         13->21->29->37->45->46->47
 13--48         13->21->29->37->45->53->52->51->50->49->48
 13--49         13->21->29->37->45->53->52->51->50->49
 13--50         13->21->29->37->45->53->52->51->50
 13--51         13->21->29->37->45->53->52->51
 13--52         13->21->29->37->45->53->52
 13--53         13->21->29->37->45->53
 13--54         13->21->29->37->45->53->54
 13--55         13->21->29->37->45->53->54->55
 13--56         13->21->29->37->45->53->61->60->59->58->57->56
 13--57         13->21->29->37->45->53->61->60->59->58->57
 13--58         13->21->29->37->45->53->61->60->59->58
 13--59         13->21->29->37->45->53->61->60->59
 13--60         13->21->29->37->45->53->61->60
 13--61         13->21->29->37->45->53->61
 13--62         13->21->29->37->45->53->61->62
 13--63         13->21->29->37->45->53->61->62->63
 14--0         14->13->12->11->10->2->1->0
 14--1         14->13->12->11->10->2->1
 14--2         14->13->12->11->10->2
 14--4         14->6->5->4
 14--5         14->6->5
 14--6         14->6
 14--7         14->6->7
 14--8         14->13->12->11->10->9->8
 14--9         14->13->12->11->10->9
 14--10         14->13->12->11->10
 14--11         14->13->12->11
 14--12         14->13->12
 14--13         14->13
 14--15         14->15
 14--16         14->13->12->11->10->9->17->16
 14--17         14->13->12->11->10->9->17
 14--19         14->22->21->20->19
 14--20         14->22->21->20
 14--21         14->22->21
 14--22         14->22
 14--23         14->22->23
 14--24         14->22->30->29->28->27->26->25->24
 14--25         14->22->30->29->28->27->26->25
 14--26         14->22->30->29->28->27->26
 14--27         14->22->30->29->28->27
 14--28         14->22->30->29->28
 14--29         14->22->30->29
 14--30         14->22->30
 14--31         14->22->30->31
 14--32         14->22->30->29->28->27->26->34->33->32
 14--33         14->22->30->29->28->27->26->34->33
 14--34         14->22->30->29->28->27->26->34
 14--36         14->22->30->38->37->36
 14--37         14->22->30->38->37
 14--38         14->22->30->38
 14--39         14->22->30->38->39
 14--40         14->22->30->38->46->45->44->43->42->41->40
 14--41         14->22->30->38->46->45->44->43->42->41
 14--42         14->22->30->38->46->45->44->43->42
 14--43         14->22->30->38->46->45->44->43
 14--44         14->22->30->38->46->45->44
 14--45         14->22->30->38->46->45
 14--46         14->22->30->38->46
 14--47         14->22->30->38->46->47
 14--48         14->22->30->38->46->54->53->52->51->50->49->48
 14--49         14->22->30->38->46->54->53->52->51->50->49
 14--50         14->22->30->38->46->54->53->52->51->50
 14--51         14->22->30->38->46->54->53->52->51
 14--52         14->22->30->38->46->54->53->52
 14--53         14->22->30->38->46->54->53
 14--54         14->22->30->38->46->54
 14--55         14->22->30->38->46->54->55
 14--56         14->22->30->38->46->54->62->61->60->59->58->57->56
 14--57         14->22->30->38->46->54->62->61->60->59->58->57
 14--58         14->22->30->38->46->54->62->61->60->59->58
 14--59         14->22->30->38->46->54->62->61->60->59
 14--60         14->22->30->38->46->54->62->61->60
 14--61         14->22->30->38->46->54->62->61
 14--62         14->22->30->38->46->54->62
 14--63         14->22->30->38->46->54->62->63
 15--0         15->14->13->12->11->10->2->1->0
 15--1         15->14->13->12->11->10->2->1
 15--2         15->14->13->12->11->10->2
 15--4         15->7->6->5->4
 15--5         15->7->6->5
 15--6         15->7->6
 15--7         15->7
 15--8         15->14->13->12->11->10->9->8
 15--9         15->14->13->12->11->10->9
 15--10         15->14->13->12->11->10
 15--11         15->14->13->12->11
 15--12         15->14->13->12
 15--13         15->14->13
 15--14         15->14
 15--16         15->14->13->12->11->10->9->17->16
 15--17         15->14->13->12->11->10->9->17
 15--19         15->23->22->21->20->19
 15--20         15->23->22->21->20
 15--21         15->23->22->21
 15--22         15->23->22
 15--23         15->23
 15--24         15->23->31->30->29->28->27->26->25->24
 15--25         15->23->31->30->29->28->27->26->25
 15--26         15->23->31->30->29->28->27->26
 15--27         15->23->31->30->29->28->27
 15--28         15->23->31->30->29->28
 15--29         15->23->31->30->29
 15--30         15->23->31->30
 15--31         15->23->31
 15--32         15->23->31->30->29->28->27->26->34->33->32
 15--33         15->23->31->30->29->28->27->26->34->33
 15--34         15->23->31->30->29->28->27->26->34
 15--36         15->23->31->39->38->37->36
 15--37         15->23->31->39->38->37
 15--38         15->23->31->39->38
 15--39         15->23->31->39
 15--40         15->23->31->39->47->46->45->44->43->42->41->40
 15--41         15->23->31->39->47->46->45->44->43->42->41
 15--42         15->23->31->39->47->46->45->44->43->42
 15--43         15->23->31->39->47->46->45->44->43
 15--44         15->23->31->39->47->46->45->44
 15--45         15->23->31->39->47->46->45
 15--46         15->23->31->39->47->46
 15--47         15->23->31->39->47
 15--48         15->23->31->39->47->55->54->53->52->51->50->49->48
 15--49         15->23->31->39->47->55->54->53->52->51->50->49
 15--50         15->23->31->39->47->55->54->53->52->51->50
 15--51         15->23->31->39->47->55->54->53->52->51
 15--52         15->23->31->39->47->55->54->53->52
 15--53         15->23->31->39->47->55->54->53
 15--54         15->23->31->39->47->55->54
 15--55         15->23->31->39->47->55
 15--56         15->23->31->39->47->55->63->62->61->60->59->58->57->56
 15--57         15->23->31->39->47->55->63->62->61->60->59->58->57
 15--58         15->23->31->39->47->55->63->62->61->60->59->58
 15--59         15->23->31->39->47->55->63->62->61->60->59
 15--60         15->23->31->39->47->55->63->62->61->60
 15--61         15->23->31->39->47->55->63->62->61
 15--62         15->23->31->39->47->55->63->62
 15--63         15->23->31->39->47->55->63
 16--0         16->8->0
 16--1         16->8->0->1
 16--2         16->8->0->1->2
 16--4         16->8->9->10->11->12->4
 16--5         16->8->9->10->11->12->4->5
 16--6         16->8->9->10->11->12->4->5->6
 16--7         16->8->9->10->11->12->4->5->6->7
 16--8         16->8
 16--9         16->8->9
 16--10         16->8->9->10
 16--11         16->8->9->10->11
 16--12         16->8->9->10->11->12
 16--13         16->8->9->10->11->12->13
 16--14         16->8->9->10->11->12->13->14
 16--15         16->8->9->10->11->12->13->14->15
 16--17         16->17
 16--19         16->24->25->26->27->19
 16--20         16->24->25->26->27->19->20
 16--21         16->24->25->26->27->19->20->21
 16--22         16->24->25->26->27->19->20->21->22
 16--23         16->24->25->26->27->19->20->21->22->23
 16--24         16->24
 16--25         16->24->25
 16--26         16->24->25->26
 16--27         16->24->25->26->27
 16--28         16->24->25->26->27->28
 16--29         16->24->25->26->27->28->29
 16--30         16->24->25->26->27->28->29->30
 16--31         16->24->25->26->27->28->29->30->31
 16--32         16->24->32
 16--33         16->24->32->33
 16--34         16->24->32->33->34
 16--36         16->24->25->26->27->28->36
 16--37         16->24->25->26->27->28->36->37
 16--38         16->24->25->26->27->28->36->37->38
 16--39         16->24->25->26->27->28->36->37->38->39
 16--40         16->24->32->40
 16--41         16->24->32->40->41
 16--42         16->24->32->40->41->42
 16--43         16->24->32->40->41->42->43
 16--44         16->24->32->40->41->42->43->44
 16--45         16->24->32->40->41->42->43->44->45
 16--46         16->24->32->40->41->42->43->44->45->46
 16--47         16->24->32->40->41->42->43->44->45->46->47
 16--48         16->24->32->40->48
 16--49         16->24->32->40->48->49
 16--50         16->24->32->40->48->49->50
 16--51         16->24->32->40->48->49->50->51
 16--52         16->24->32->40->48->49->50->51->52
 16--53         16->24->32->40->48->49->50->51->52->53
 16--54         16->24->32->40->48->49->50->51->52->53->54
 16--55         16->24->32->40->48->49->50->51->52->53->54->55
 16--56         16->24->32->40->48->56
 16--57         16->24->32->40->48->56->57
 16--58         16->24->32->40->48->56->57->58
 16--59         16->24->32->40->48->56->57->58->59
 16--60         16->24->32->40->48->56->57->58->59->60
 16--61         16->24->32->40->48->56->57->58->59->60->61
 16--62         16->24->32->40->48->56->57->58->59->60->61->62
 16--63         16->24->32->40->48->56->57->58->59->60->61->62->63
 17--0         17->9->1->0
 17--1         17->9->1
 17--2         17->9->1->2
 17--4         17->9->10->11->12->4
 17--5         17->9->10->11->12->4->5
 17--6         17->9->10->11->12->4->5->6
 17--7         17->9->10->11->12->4->5->6->7
 17--8         17->9->8
 17--9         17->9
 17--10         17->9->10
 17--11         17->9->10->11
 17--12         17->9->10->11->12
 17--13         17->9->10->11->12->13
 17--14         17->9->10->11->12->13->14
 17--15         17->9->10->11->12->13->14->15
 17--16         17->16
 17--19         17->25->26->27->19
 17--20         17->25->26->27->19->20
 17--21         17->25->26->27->19->20->21
 17--22         17->25->26->27->19->20->21->22
 17--23         17->25->26->27->19->20->21->22->23
 17--24         17->25->24
 17--25         17->25
 17--26         17->25->26
 17--27         17->25->26->27
 17--28         17->25->26->27->28
 17--29         17->25->26->27->28->29
 17--30         17->25->26->27->28->29->30
 17--31         17->25->26->27->28->29->30->31
 17--32         17->25->33->32
 17--33         17->25->33
 17--34         17->25->33->34
 17--36         17->25->26->27->28->36
 17--37         17->25->26->27->28->36->37
 17--38         17->25->26->27->28->36->37->38
 17--39         17->25->26->27->28->36->37->38->39
 17--40         17->25->33->41->40
 17--41         17->25->33->41
 17--42         17->25->33->41->42
 17--43         17->25->33->41->42->43
 17--44         17->25->33->41->42->43->44
 17--45         17->25->33->41->42->43->44->45
 17--46         17->25->33->41->42->43->44->45->46
 17--47         17->25->33->41->42->43->44->45->46->47
 17--48         17->25->33->41->49->48
 17--49         17->25->33->41->49
 17--50         17->25->33->41->49->50
 17--51         17->25->33->41->49->50->51
 17--52         17->25->33->41->49->50->51->52
 17--53         17->25->33->41->49->50->51->52->53
 17--54         17->25->33->41->49->50->51->52->53->54
 17--55         17->25->33->41->49->50->51->52->53->54->55
 17--56         17->25->33->41->49->57->56
 17--57         17->25->33->41->49->57
 17--58         17->25->33->41->49->57->58
 17--59         17->25->33->41->49->57->58->59
 17--60         17->25->33->41->49->57->58->59->60
 17--61         17->25->33->41->49->57->58->59->60->61
 17--62         17->25->33->41->49->57->58->59->60->61->62
 17--63         17->25->33->41->49->57->58->59->60->61->62->63
 19--0         19->11->10->2->1->0
 19--1         19->11->10->2->1
 19--2         19->11->10->2
 19--4         19->11->12->4
 19--5         19->11->12->4->5
 19--6         19->11->12->4->5->6
 19--7         19->11->12->4->5->6->7
 19--8         19->11->10->9->8
 19--9         19->11->10->9
 19--10         19->11->10
 19--11         19->11
 19--12         19->11->12
 19--13         19->11->12->13
 19--14         19->11->12->13->14
 19--15         19->11->12->13->14->15
 19--16         19->27->26->25->17->16
 19--17         19->27->26->25->17
 19--20         19->20
 19--21         19->20->21
 19--22         19->20->21->22
 19--23         19->20->21->22->23
 19--24         19->27->26->25->24
 19--25         19->27->26->25
 19--26         19->27->26
 19--27         19->27
 19--28         19->27->28
 19--29         19->27->28->29
 19--30         19->27->28->29->30
 19--31         19->27->28->29->30->31
 19--32         19->27->26->34->33->32
 19--33         19->27->26->34->33
 19--34         19->27->26->34
 19--36         19->27->28->36
 19--37         19->27->28->36->37
 19--38         19->27->28->36->37->38
 19--39         19->27->28->36->37->38->39
 19--40         19->27->26->34->42->41->40
 19--41         19->27->26->34->42->41
 19--42         19->27->26->34->42
 19--43         19->27->28->36->44->43
 19--44         19->27->28->36->44
 19--45         19->27->28->36->44->45
 19--46         19->27->28->36->44->45->46
 19--47         19->27->28->36->44->45->46->47
 19--48         19->27->26->34->42->50->49->48
 19--49         19->27->26->34->42->50->49
 19--50         19->27->26->34->42->50
 19--51         19->27->28->36->44->52->51
 19--52         19->27->28->36->44->52
 19--53         19->27->28->36->44->52->53
 19--54         19->27->28->36->44->52->53->54
 19--55         19->27->28->36->44->52->53->54->55
 19--56         19->27->26->34->42->50->58->57->56
 19--57         19->27->26->34->42->50->58->57
 19--58         19->27->26->34->42->50->58
 19--59         19->27->28->36->44->52->60->59
 19--60         19->27->28->36->44->52->60
 19--61         19->27->28->36->44->52->60->61
 19--62         19->27->28->36->44->52->60->61->62
 19--63         19->27->28->36->44->52->60->61->62->63
 20--0         20->12->11->10->2->1->0
 20--1         20->12->11->10->2->1
 20--2         20->12->11->10->2
 20--4         20->12->4
 20--5         20->12->4->5
 20--6         20->12->4->5->6
 20--7         20->12->4->5->6->7
 20--8         20->12->11->10->9->8
 20--9         20->12->11->10->9
 20--10         20->12->11->10
 20--11         20->12->11
 20--12         20->12
 20--13         20->12->13
 20--14         20->12->13->14
 20--15         20->12->13->14->15
 20--16         20->28->27->26->25->17->16
 20--17         20->28->27->26->25->17
 20--19         20->19
 20--21         20->21
 20--22         20->21->22
 20--23         20->21->22->23
 20--24         20->28->27->26->25->24
 20--25         20->28->27->26->25
 20--26         20->28->27->26
 20--27         20->28->27
 20--28         20->28
 20--29         20->28->29
 20--30         20->28->29->30
 20--31         20->28->29->30->31
 20--32         20->28->27->26->34->33->32
 20--33         20->28->27->26->34->33
 20--34         20->28->27->26->34
 20--36         20->28->36
 20--37         20->28->36->37
 20--38         20->28->36->37->38
 20--39         20->28->36->37->38->39
 20--40         20->28->36->44->43->42->41->40
 20--41         20->28->36->44->43->42->41
 20--42         20->28->36->44->43->42
 20--43         20->28->36->44->43
 20--44         20->28->36->44
 20--45         20->28->36->44->45
 20--46         20->28->36->44->45->46
 20--47         20->28->36->44->45->46->47
 20--48         20->28->36->44->52->51->50->49->48
 20--49         20->28->36->44->52->51->50->49
 20--50         20->28->36->44->52->51->50
 20--51         20->28->36->44->52->51
 20--52         20->28->36->44->52
 20--53         20->28->36->44->52->53
 20--54         20->28->36->44->52->53->54
 20--55         20->28->36->44->52->53->54->55
 20--56         20->28->36->44->52->60->59->58->57->56
 20--57         20->28->36->44->52->60->59->58->57
 20--58         20->28->36->44->52->60->59->58
 20--59         20->28->36->44->52->60->59
 20--60         20->28->36->44->52->60
 20--61         20->28->36->44->52->60->61
 20--62         20->28->36->44->52->60->61->62
 20--63         20->28->36->44->52->60->61->62->63
 21--0         21->13->12->11->10->2->1->0
 21--1         21->13->12->11->10->2->1
 21--2         21->13->12->11->10->2
 21--4         21->13->5->4
 21--5         21->13->5
 21--6         21->13->5->6
 21--7         21->13->5->6->7
 21--8         21->13->12->11->10->9->8
 21--9         21->13->12->11->10->9
 21--10         21->13->12->11->10
 21--11         21->13->12->11
 21--12         21->13->12
 21--13         21->13
 21--14         21->13->14
 21--15         21->13->14->15
 21--16         21->29->28->27->26->25->17->16
 21--17         21->29->28->27->26->25->17
 21--19         21->20->19
 21--20         21->20
 21--22         21->22
 21--23         21->22->23
 21--24         21->29->28->27->26->25->24
 21--25         21->29->28->27->26->25
 21--26         21->29->28->27->26
 21--27         21->29->28->27
 21--28         21->29->28
 21--29         21->29
 21--30         21->29->30
 21--31         21->29->30->31
 21--32         21->29->28->27->26->34->33->32
 21--33         21->29->28->27->26->34->33
 21--34         21->29->28->27->26->34
 21--36         21->29->37->36
 21--37         21->29->37
 21--38         21->29->37->38
 21--39         21->29->37->38->39
 21--40         21->29->37->45->44->43->42->41->40
 21--41         21->29->37->45->44->43->42->41
 21--42         21->29->37->45->44->43->42
 21--43         21->29->37->45->44->43
 21--44         21->29->37->45->44
 21--45         21->29->37->45
 21--46         21->29->37->45->46
 21--47         21->29->37->45->46->47
 21--48         21->29->37->45->53->52->51->50->49->48
 21--49         21->29->37->45->53->52->51->50->49
 21--50         21->29->37->45->53->52->51->50
 21--51         21->29->37->45->53->52->51
 21--52         21->29->37->45->53->52
 21--53         21->29->37->45->53
 21--54         21->29->37->45->53->54
 21--55         21->29->37->45->53->54->55
 21--56         21->29->37->45->53->61->60->59->58->57->56
 21--57         21->29->37->45->53->61->60->59->58->57
 21--58         21->29->37->45->53->61->60->59->58
 21--59         21->29->37->45->53->61->60->59
 21--60         21->29->37->45->53->61->60
 21--61         21->29->37->45->53->61
 21--62         21->29->37->45->53->61->62
 21--63         21->29->37->45->53->61->62->63
 22--0         22->14->13->12->11->10->2->1->0
 22--1         22->14->13->12->11->10->2->1
 22--2         22->14->13->12->11->10->2
 22--4         22->14->6->5->4
 22--5         22->14->6->5
 22--6         22->14->6
 22--7         22->14->6->7
 22--8         22->14->13->12->11->10->9->8
 22--9         22->14->13->12->11->10->9
 22--10         22->14->13->12->11->10
 22--11         22->14->13->12->11
 22--12         22->14->13->12
 22--13         22->14->13
 22--14         22->14
 22--15         22->14->15
 22--16         22->30->29->28->27->26->25->17->16
 22--17         22->30->29->28->27->26->25->17
 22--19         22->21->20->19
 22--20         22->21->20
 22--21         22->21
 22--23         22->23
 22--24         22->30->29->28->27->26->25->24
 22--25         22->30->29->28->27->26->25
 22--26         22->30->29->28->27->26
 22--27         22->30->29->28->27
 22--28         22->30->29->28
 22--29         22->30->29
 22--30         22->30
 22--31         22->30->31
 22--32         22->30->29->28->27->26->34->33->32
 22--33         22->30->29->28->27->26->34->33
 22--34         22->30->29->28->27->26->34
 22--36         22->30->38->37->36
 22--37         22->30->38->37
 22--38         22->30->38
 22--39         22->30->38->39
 22--40         22->30->38->46->45->44->43->42->41->40
 22--41         22->30->38->46->45->44->43->42->41
 22--42         22->30->38->46->45->44->43->42
 22--43         22->30->38->46->45->44->43
 22--44         22->30->38->46->45->44
 22--45         22->30->38->46->45
 22--46         22->30->38->46
 22--47         22->30->38->46->47
 22--48         22->30->38->46->54->53->52->51->50->49->48
 22--49         22->30->38->46->54->53->52->51->50->49
 22--50         22->30->38->46->54->53->52->51->50
 22--51         22->30->38->46->54->53->52->51
 22--52         22->30->38->46->54->53->52
 22--53         22->30->38->46->54->53
 22--54         22->30->38->46->54
 22--55         22->30->38->46->54->55
 22--56         22->30->38->46->54->62->61->60->59->58->57->56
 22--57         22->30->38->46->54->62->61->60->59->58->57
 22--58         22->30->38->46->54->62->61->60->59->58
 22--59         22->30->38->46->54->62->61->60->59
 22--60         22->30->38->46->54->62->61->60
 22--61         22->30->38->46->54->62->61
 22--62         22->30->38->46->54->62
 22--63         22->30->38->46->54->62->63
 23--0         23->15->14->13->12->11->10->2->1->0
 23--1         23->15->14->13->12->11->10->2->1
 23--2         23->15->14->13->12->11->10->2
 23--4         23->15->7->6->5->4
 23--5         23->15->7->6->5
 23--6         23->15->7->6
 23--7         23->15->7
 23--8         23->15->14->13->12->11->10->9->8
 23--9         23->15->14->13->12->11->10->9
 23--10         23->15->14->13->12->11->10
 23--11         23->15->14->13->12->11
 23--12         23->15->14->13->12
 23--13         23->15->14->13
 23--14         23->15->14
 23--15         23->15
 23--16         23->31->30->29->28->27->26->25->17->16
 23--17         23->31->30->29->28->27->26->25->17
 23--19         23->22->21->20->19
 23--20         23->22->21->20
 23--21         23->22->21
 23--22         23->22
 23--24         23->31->30->29->28->27->26->25->24
 23--25         23->31->30->29->28->27->26->25
 23--26         23->31->30->29->28->27->26
 23--27         23->31->30->29->28->27
 23--28         23->31->30->29->28
 23--29         23->31->30->29
 23--30         23->31->30
 23--31         23->31
 23--32         23->31->30->29->28->27->26->34->33->32
 23--33         23->31->30->29->28->27->26->34->33
 23--34         23->31->30->29->28->27->26->34
 23--36         23->31->39->38->37->36
 23--37         23->31->39->38->37
 23--38         23->31->39->38
 23--39         23->31->39
 23--40         23->31->39->47->46->45->44->43->42->41->40
 23--41         23->31->39->47->46->45->44->43->42->41
 23--42         23->31->39->47->46->45->44->43->42
 23--43         23->31->39->47->46->45->44->43
 23--44         23->31->39->47->46->45->44
 23--45         23->31->39->47->46->45
 23--46         23->31->39->47->46
 23--47         23->31->39->47
 23--48         23->31->39->47->55->54->53->52->51->50->49->48
 23--49         23->31->39->47->55->54->53->52->51->50->49
 23--50         23->31->39->47->55->54->53->52->51->50
 23--51         23->31->39->47->55->54->53->52->51
 23--52         23->31->39->47->55->54->53->52
 23--53         23->31->39->47->55->54->53
 23--54         23->31->39->47->55->54
 23--55         23->31->39->47->55
 23--56         23->31->39->47->55->63->62->61->60->59->58->57->56
 23--57         23->31->39->47->55->63->62->61->60->59->58->57
 23--58         23->31->39->47->55->63->62->61->60->59->58
 23--59         23->31->39->47->55->63->62->61->60->59
 23--60         23->31->39->47->55->63->62->61->60
 23--61         23->31->39->47->55->63->62->61
 23--62         23->31->39->47->55->63->62
 23--63         23->31->39->47->55->63
 24--0         24->16->8->0
 24--1         24->16->8->0->1
 24--2         24->16->8->0->1->2
 24--4         24->16->8->9->10->11->12->4
 24--5         24->16->8->9->10->11->12->4->5
 24--6         24->16->8->9->10->11->12->4->5->6
 24--7         24->16->8->9->10->11->12->4->5->6->7
 24--8         24->16->8
 24--9         24->16->8->9
 24--10         24->16->8->9->10
 24--11         24->16->8->9->10->11
 24--12         24->16->8->9->10->11->12
 24--13         24->16->8->9->10->11->12->13
 24--14         24->16->8->9->10->11->12->13->14
 24--15         24->16->8->9->10->11->12->13->14->15
 24--16         24->16
 24--17         24->16->17
 24--19         24->25->26->27->19
 24--20         24->25->26->27->19->20
 24--21         24->25->26->27->19->20->21
 24--22         24->25->26->27->19->20->21->22
 24--23         24->25->26->27->19->20->21->22->23
 24--25         24->25
 24--26         24->25->26
 24--27         24->25->26->27
 24--28         24->25->26->27->28
 24--29         24->25->26->27->28->29
 24--30         24->25->26->27->28->29->30
 24--31         24->25->26->27->28->29->30->31
 24--32         24->32
 24--33         24->32->33
 24--34         24->32->33->34
 24--36         24->25->26->27->28->36
 24--37         24->25->26->27->28->36->37
 24--38         24->25->26->27->28->36->37->38
 24--39         24->25->26->27->28->36->37->38->39
 24--40         24->32->40
 24--41         24->32->40->41
 24--42         24->32->40->41->42
 24--43         24->32->40->41->42->43
 24--44         24->32->40->41->42->43->44
 24--45         24->32->40->41->42->43->44->45
 24--46         24->32->40->41->42->43->44->45->46
 24--47         24->32->40->41->42->43->44->45->46->47
 24--48         24->32->40->48
 24--49         24->32->40->48->49
 24--50         24->32->40->48->49->50
 24--51         24->32->40->48->49->50->51
 24--52         24->32->40->48->49->50->51->52
 24--53         24->32->40->48->49->50->51->52->53
 24--54         24->32->40->48->49->50->51->52->53->54
 24--55         24->32->40->48->49->50->51->52->53->54->55
 24--56         24->32->40->48->56
 24--57         24->32->40->48->56->57
 24--58         24->32->40->48->56->57->58
 24--59         24->32->40->48->56->57->58->59
 24--60         24->32->40->48->56->57->58->59->60
 24--61         24->32->40->48->56->57->58->59->60->61
 24--62         24->32->40->48->56->57->58->59->60->61->62
 24--63         24->32->40->48->56->57->58->59->60->61->62->63
 25--0         25->17->9->1->0
 25--1         25->17->9->1
 25--2         25->17->9->1->2
 25--4         25->17->9->10->11->12->4
 25--5         25->17->9->10->11->12->4->5
 25--6         25->17->9->10->11->12->4->5->6
 25--7         25->17->9->10->11->12->4->5->6->7
 25--8         25->17->9->8
 25--9         25->17->9
 25--10         25->17->9->10
 25--11         25->17->9->10->11
 25--12         25->17->9->10->11->12
 25--13         25->17->9->10->11->12->13
 25--14         25->17->9->10->11->12->13->14
 25--15         25->17->9->10->11->12->13->14->15
 25--16         25->17->16
 25--17         25->17
 25--19         25->26->27->19
 25--20         25->26->27->19->20
 25--21         25->26->27->19->20->21
 25--22         25->26->27->19->20->21->22
 25--23         25->26->27->19->20->21->22->23
 25--24         25->24
 25--26         25->26
 25--27         25->26->27
 25--28         25->26->27->28
 25--29         25->26->27->28->29
 25--30         25->26->27->28->29->30
 25--31         25->26->27->28->29->30->31
 25--32         25->33->32
 25--33         25->33
 25--34         25->33->34
 25--36         25->26->27->28->36
 25--37         25->26->27->28->36->37
 25--38         25->26->27->28->36->37->38
 25--39         25->26->27->28->36->37->38->39
 25--40         25->33->41->40
 25--41         25->33->41
 25--42         25->33->41->42
 25--43         25->33->41->42->43
 25--44         25->33->41->42->43->44
 25--45         25->33->41->42->43->44->45
 25--46         25->33->41->42->43->44->45->46
 25--47         25->33->41->42->43->44->45->46->47
 25--48         25->33->41->49->48
 25--49         25->33->41->49
 25--50         25->33->41->49->50
 25--51         25->33->41->49->50->51
 25--52         25->33->41->49->50->51->52
 25--53         25->33->41->49->50->51->52->53
 25--54         25->33->41->49->50->51->52->53->54
 25--55         25->33->41->49->50->51->52->53->54->55
 25--56         25->33->41->49->57->56
 25--57         25->33->41->49->57
 25--58         25->33->41->49->57->58
 25--59         25->33->41->49->57->58->59
 25--60         25->33->41->49->57->58->59->60
 25--61         25->33->41->49->57->58->59->60->61
 25--62         25->33->41->49->57->58->59->60->61->62
 25--63         25->33->41->49->57->58->59->60->61->62->63
 26--0         26->25->17->9->1->0
 26--1         26->25->17->9->1
 26--2         26->27->19->11->10->2
 26--4         26->27->19->11->12->4
 26--5         26->27->19->11->12->4->5
 26--6         26->27->19->11->12->4->5->6
 26--7         26->27->19->11->12->4->5->6->7
 26--8         26->25->17->9->8
 26--9         26->25->17->9
 26--10         26->27->19->11->10
 26--11         26->27->19->11
 26--12         26->27->19->11->12
 26--13         26->27->19->11->12->13
 26--14         26->27->19->11->12->13->14
 26--15         26->27->19->11->12->13->14->15
 26--16         26->25->17->16
 26--17         26->25->17
 26--19         26->27->19
 26--20         26->27->19->20
 26--21         26->27->19->20->21
 26--22         26->27->19->20->21->22
 26--23         26->27->19->20->21->22->23
 26--24         26->25->24
 26--25         26->25
 26--27         26->27
 26--28         26->27->28
 26--29         26->27->28->29
 26--30         26->27->28->29->30
 26--31         26->27->28->29->30->31
 26--32         26->34->33->32
 26--33         26->34->33
 26--34         26->34
 26--36         26->27->28->36
 26--37         26->27->28->36->37
 26--38         26->27->28->36->37->38
 26--39         26->27->28->36->37->38->39
 26--40         26->34->42->41->40
 26--41         26->34->42->41
 26--42         26->34->42
 26--43         26->34->42->43
 26--44         26->34->42->43->44
 26--45         26->34->42->43->44->45
 26--46         26->34->42->43->44->45->46
 26--47         26->34->42->43->44->45->46->47
 26--48         26->34->42->50->49->48
 26--49         26->34->42->50->49
 26--50         26->34->42->50
 26--51         26->34->42->50->51
 26--52         26->34->42->50->51->52
 26--53         26->34->42->50->51->52->53
 26--54         26->34->42->50->51->52->53->54
 26--55         26->34->42->50->51->52->53->54->55
 26--56         26->34->42->50->58->57->56
 26--57         26->34->42->50->58->57
 26--58         26->34->42->50->58
 26--59         26->34->42->50->58->59
 26--60         26->34->42->50->58->59->60
 26--61         26->34->42->50->58->59->60->61
 26--62         26->34->42->50->58->59->60->61->62
 26--63         26->34->42->50->58->59->60->61->62->63
 27--0         27->19->11->10->2->1->0
 27--1         27->19->11->10->2->1
 27--2         27->19->11->10->2
 27--4         27->19->11->12->4
 27--5         27->19->11->12->4->5
 27--6         27->19->11->12->4->5->6
 27--7         27->19->11->12->4->5->6->7
 27--8         27->19->11->10->9->8
 27--9         27->19->11->10->9
 27--10         27->19->11->10
 27--11         27->19->11
 27--12         27->19->11->12
 27--13         27->19->11->12->13
 27--14         27->19->11->12->13->14
 27--15         27->19->11->12->13->14->15
 27--16         27->26->25->17->16
 27--17         27->26->25->17
 27--19         27->19
 27--20         27->19->20
 27--21         27->19->20->21
 27--22         27->19->20->21->22
 27--23         27->19->20->21->22->23
 27--24         27->26->25->24
 27--25         27->26->25
 27--26         27->26
 27--28         27->28
 27--29         27->28->29
 27--30         27->28->29->30
